Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
B1,3,8.25,19,21,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B2,3,7.95,23,17,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B3,3,8.025,11,29,2.55,Capryol_90,Tween_80,Tween_80,blank,16.72,0.224666667,-2.926666667,0,,
B4,3,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,blank,11.20666667,0.127,-3.71,0,,
B5,3,8.25,11,29,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000,1,100,1,,
C1,1,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000,1,100,1,,
C2,1,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,61.38,0.576666667,-1.74,0,,
C3,1,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000,1,100,1,,
C4,1,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,85.44666667,0.558333333,-2.09,0,,
C5,1,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,128.4,0.485333333,-3.24,0,,
C1,2,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000,1,100,1,,
C2,2,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,76.69666667,0.515666667,-1.356666667,0,,
C3,2,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000,1,100,1,,
C4,2,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,96.6,0.364333333,-2.026666667,0,,
C5,2,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,142.5333333,0.516,-3.553333333,0,,
C1,3,13.125,10.5,29.5,1.725,Soybean_Oil,Tween_20,Ethanol,blank,10000,0.626133333,100,1,,
C2,3,7.8,21.5,18.5,2.925,Capryol_90,Tween_80,Transcutol_HP,blank,100.9,0.532666667,-1.636666667,0,,
C3,3,7.875,20.5,19.5,1.74,Capryol_90,Labrasol,Ethanol,blank,10000,0.602888889,100,1,,
C4,3,7.875,20.5,19.5,2.775,Capryol_90,Tween_80,Transcutol_HP,blank,99.81666667,0.404333333,-2.063333333,0,,
C5,3,7.875,10.5,29.5,2.67,Capmul_MCM,Tween_20,Transcutol_HP,blank,135.7,0.467666667,-3.81,0,,
D1,1,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,104.7,0.688,-3.1,0,,
D2,1,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,89.22,0.521,-2.27,0,,
D3,1,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,13.24,0.117,-2.43,0,,
D4,1,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,63.8,0.545,-2.22,0,,
D5,1,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,133.6,0.295,-2.43,0,,
D1,2,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,91.36,0.756,-3.18,0,,
D2,2,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,71.06,0.623,-2.28,0,,
D3,2,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,17.12,0.249,-1.96,0,,
D4,2,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,76.96,0.549,-2.68,0,,
D5,2,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,131.3,0.297,-3.11,0,,
D1,3,10.125,24.5,15.5,0.225,Capmul_MCM,Tween_20,Ethanol,blank,42.67,1,-3.6,0,,
D2,3,7.5,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,89.59,0.527,-1.99,0,,
D3,3,7.875,10.5,29.5,0.825,Capryol_90,Tween_80,Tween_80,blank,15.48,0.191,-2.3,0,,
D4,3,7.575,20.2,19.8,0.975,Capryol_90,Tween_80,Transcutol_HP,blank,61.32,0.509,-2.33,0,,
D5,3,7.5,12.5,27.5,1.725,Maisine_Oil,Tween_80,Propylene_Glycol,blank,131.73,0.296,-3.68,0,,
E1,1,7.875,15,25,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000,1,100,1,,
E2,1,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,10.97,0.18,-4.01,0,,
E3,1,20.625,10,30,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000,1,100,1,,
E4,1,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,68.22,0.61,-2.6,0,,
E5,1,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,116.87,0.285,-4.63,0,,
E1,2,7.875,15,25,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000,1,100,1,,
