Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),objective
DoE1,2,Oleic_Acid,Tween_80,PEG_400,A190,7.5,10.0,30.0,1.5,276.0333333,0.484666667,-5.376666667,0,0.19559259255555553,0.484666667,0.0,0.0,0.6802592595555556
DoE4,1,Oleic_Acid,Tween_80,PEG_400,A190,7.5,30.0,10.0,1.5,361.4333333,0.396666667,-5.67,0,0.29048148144444447,0.396666667,0.0,0.0,0.6871481484444444
D1,1,Capmul_MCM,Tween_20,Ethanol,blank,10.125,24.5,15.5,0.225,104.7,0.688,-3.1,0,0.005222222222222225,0.688,0.0,0.0,0.6932222222222222
B3,1,Capryol_90,Tween_80,Tween_80,blank,8.025,11.0,29.0,2.55,28.66333333,0.733,-2.383333333,0,0.0,0.733,0.0,0.0,0.733
D1,2,Capmul_MCM,Tween_20,Ethanol,blank,10.125,24.5,15.5,0.225,91.36,0.756,-3.18,0,0.0,0.756,0.0,0.0,0.756
DoE11,2,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,3.0,290.7666667,0.661333333,-5.876666667,0,0.21196296299999998,0.661333333,0.0,0.0,0.8732962959999999
DoE10,3,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,0.0,337.8666667,0.644666667,-6.79,0,0.26429629633333335,0.644666667,0.0,0.0,0.9089629633333334
DoE10,2,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,0.0,356.8666667,0.634333333,-7.096666667,0,0.2854074074444444,0.634333333,0.0,0.0,0.9197407404444444
DoE11,3,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,3.0,359.8666667,0.701666667,-6.02,0,0.2887407407777778,0.701666667,0.0,0.0,0.9904074077777778
D1,3,Capmul_MCM,Tween_20,Ethanol,blank,10.125,24.5,15.5,0.225,42.67,1.0,-3.6,0,0.0,1.0,0.0,0.0,1.0
DoE10,1,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,0.0,705.1333333,0.504333333,-5.243333333,0,0.6723703703333334,0.504333333,0.0,0.0,1.1767037033333334
DoE11,1,Oleic_Acid,Tween_80,PEG_400,A190,15.0,30.0,10.0,3.0,631.3333333,0.654,-6.096666667,0,0.5903703703333334,0.654,0.0,0.0,1.2443703703333333
C3,3,Capryol_90,Labrasol,Ethanol,blank,7.875,20.5,19.5,1.74,10000.0,0.602888889,100.0,1,11.0,0.602888889,9.0,10.0,30.602888889
C1,3,Soybean_Oil,Tween_20,Ethanol,blank,13.125,10.5,29.5,1.725,10000.0,0.626133333,100.0,1,11.0,0.626133333,9.0,10.0,30.626133333
Ran8,3,Capryol_90,Labrasol,Ethanol,blank,8.3333333,16.7,23.3,1.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran1,3,Soybean_Oil,Tween_20,PEG_400,blank,6.6666667,30.0,10.0,2.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran8,2,Capryol_90,Labrasol,Ethanol,blank,8.3333333,16.7,23.3,1.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran4,2,Maisine_Oil,Labrasol,Transcutol_HP,blank,10.0,23.3,16.7,2.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran2,3,Maisine_Oil,Labrasol,PEG_400,blank,11.6666667,16.7,23.3,3.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran4,3,Maisine_Oil,Labrasol,Transcutol_HP,blank,10.0,23.3,16.7,2.0,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
E1,1,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.875,15.0,25.0,2.025,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
C1,2,Soybean_Oil,Tween_20,Ethanol,blank,13.125,10.5,29.5,1.725,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
C1,1,Soybean_Oil,Tween_20,Ethanol,blank,13.125,10.5,29.5,1.725,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
C3,1,Capryol_90,Labrasol,Ethanol,blank,7.875,20.5,19.5,1.74,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
C3,2,Capryol_90,Labrasol,Ethanol,blank,7.875,20.5,19.5,1.74,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
A3,2,Maisine_Oil,Tween_80,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran10,3,Soybean_Oil,Tween_20,Transcutol_HP,blank,8.3333333,23.3,16.7,1.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B1,1,Oleic_Acid,Tween_80,Transcutol_HP,blank,8.25,19.0,21.0,2.85,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B2,2,Oleic_Acid,Tween_80,Transcutol_HP,blank,7.95,23.0,17.0,1.35,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B1,2,Oleic_Acid,Tween_80,Transcutol_HP,blank,8.25,19.0,21.0,2.85,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B5,1,Capryol_90,PEG_400,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B2,1,Oleic_Acid,Tween_80,Transcutol_HP,blank,7.95,23.0,17.0,1.35,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B1,3,Oleic_Acid,Tween_80,Transcutol_HP,blank,8.25,19.0,21.0,2.85,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B5,2,Capryol_90,PEG_400,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B2,3,Oleic_Acid,Tween_80,Transcutol_HP,blank,7.95,23.0,17.0,1.35,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
B5,3,Capryol_90,PEG_400,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
A3,3,Maisine_Oil,Tween_80,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
A3,1,Maisine_Oil,Tween_80,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran10,1,Soybean_Oil,Tween_20,Transcutol_HP,blank,8.3333333,23.3,16.7,1.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
Ran1,2,Soybean_Oil,Tween_20,PEG_400,blank,6.6666667,30.0,10.0,2.5,10000.0,1.0,100.0,1,11.0,1.0,9.0,10.0,31.0
