Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F-B3,R3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,16.26,0.273666667,-4.11,0,85.55,1.55e-05,0.0,0.1929629633333333,0.0,0.40192307692307705,0.22500000000000003,1.8647720805128207,1.0,1.8647720805128207
F-C2,R1,Capmul_MCM,Tween_20,Transcutol_HP,Feno,5.18,20.05,10.12,0.1,13.71,0.334,-3.1,0,95.38,1.12e-05,0.0,0.26,0.0,0.035538461538461574,0.44000000000000006,1.9110769230769233,1.0,1.9110769230769233
F5_F,1,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,193.9,0.489,-3.116666667,0,100.2566667,1.51e-05,0.10433333333333333,0.43222222222222223,0.0,0.001974359230769205,0.24500000000000008,1.9163931629059832,1.0,1.9163931629059832
A-A4,R2,Capryol_90,Tween_80,Transcutol_HP,A190,7.1875,20.0,19.375,2.025,82.35333333,0.497333333,-2.866666667,0,98.93333333,1.32e-05,0.0,0.4414814811111111,0.0,0.008205128230769259,0.34,1.9193732186837607,1.0,1.9193732186837607
F-A1,R3,Capryol_90,Tween_20,Ethanol,Feno,8.0625,20.0,15.0,2.295,12.51,0.157666667,-3.096666667,0,96.76666667,8.18e-06,0.0,0.06407407444444445,0.0,0.024871794846153795,0.5910000000000001,1.9508917385811966,1.0,1.9508917385811966
F-B4,R1,Capryol_90,Tween_80,Propylene_Glycol,Feno,7.19,27.4,13.5,1.7,145.4666667,0.327333333,-2.676666667,0,101.4133333,1.14e-05,0.050518518555555544,0.2525925922222222,0.0,0.010871794615384654,0.4300000000000001,1.9684843293418806,1.0,1.9684843293418806
A-A3,R3,Capryol_90,Tween_20,Propylene_Glycol,A190,8.0625,24.25,15.0,1.995,17.4,0.533333333,-2.633333333,0,118.5933333,2.36e-05,0.0,0.4814814811111111,0.0,0.5612820499999999,-0.03599999999999999,1.977527062222222,1.0,1.977527062222222
F-B2,R1,Capmul_MCM,Tween_20,PEG_400,Feno,8.06,27.25,5.5,1.7,11.90666667,0.202333333,-3.97,0,111.61,1.21e-05,0.0,0.11370370333333332,0.0,0.2926923076923077,0.3950000000000001,1.9977920220512824,1.0,1.9977920220512824
A-C2,R3,Maisine_Oil,Tween_20,Ethanol,A190,5.18,24.25,14.88,2.5,23.37,0.65,-3.24,0,117.4166667,2.3e-05,0.0,0.6111111111111112,0.0,0.5160256423076921,-0.02999999999999998,2.1642735068376067,1.0,2.1642735068376067
B4_F,3,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,247.6666667,0.410333333,-2.72,0,99.83749181,1.34e-05,0.1640740741111111,0.34481481444444445,0.0,0.0012500629999999764,0.33,2.174351977222222,1.0,2.174351977222222
